Name,global_score
Robert Morales,1.274353181479505
Niall Ennis,1.274225883776304
Borja Garcs,1.2735205914782801
Florin Andone,1.272366437467922
Marco Prez,1.272238232374487
Ludovic Ajorque,1.2709831505167508
Toni Mart¡nez,1.2709390217096517
Werik Pop¢,1.2706083373868515
Jonathan Torres,1.2703553980977629
Toluwalase Arokodare,1.2697682048674297
Juan Mart¡n Lucero,1.2691733764347706
Ibrahima Niane,1.2688471999157218
Gustavo Blanco Leschuk,1.268229956038284
Nikolay Komlichenko,1.26665743236603
Ram¢n Mierez,1.266595676026211
Carlos Alberto,1.2664855978064344
Isaac Kiese Thelin,1.266146047615715
?or?e Jovanovi?,1.266075294528917
Skou Kota,1.2660282328702408
Luca Moro,1.263929817861434
Ricardo Alba,1.2625282620614038
Marcus Antonsson,1.261881323240365
Alexander Sosa,1.2611577010282522
Nigel Robertha,1.2611316650919187
Pape Habib Guye,1.2604906682764092
Francisco da Costa,1.2604728864621246
Nicol s Ib ¤ez,1.2594183612049157
Terem Moffi,1.2594063700964098
Tim Prica,1.2589883572170122
Sebasti n Sosa1,1.2588815132745428
Gonalo Pacincia,1.258544040373332
Dyego Sousa,1.2579206592361891
Ezequiel Ponce,1.2577352011959335
Andrea Favilli,1.2568623393100857
Junior Adamu,1.2556277221634122
Lyndon Dykes,1.2555473119780003
Leonardo Campana,1.2555056197945829
Brenner1,1.2551867385072555
Sergio Le¢n,1.2550958000011665
Felipe Mora,1.2547960169518713
Charles Abi,1.2547593463920774
Elijah Adebayo,1.2547225984946577
Gonzalo Mastriani,1.2545326070537048
Ibrahima Kon,1.2544845262268454
Ignatius Ganago,1.2542083593093856
Dejan Jovelji?,1.2530320551920027
Bas Dost,1.252750975381439
Rodrigo Aguirre,1.2522932779182416
Jaime Mata,1.2518588297726532
Mender Garc¡a,1.251808491602802
Franco Soldano,1.251563333019842
Mauro Mndez,1.2512988388784878
Massimo Coda,1.2500370602224478
Mart¡n Satriano,1.2490902280395555
Ilija Nestorovski,1.2484264900178474
Ivan Sergeev,1.2474983167328646
Mateo Pellegrino,1.2469413376755554
Matt Godden,1.2469138204699748
Kevin Lasagna,1.2469119538832123
Lucas Beltr n,1.2467127310578225
Michael Santos,1.2464129088220885
Rwan,1.2464067248813109
Fedor Chalov,1.2450776577664242
Cristian Colm n,1.2447849671198443
Carlos Corts,1.2445995566938457
Brian Montenegro,1.2445886082726765
Pablo Magn¡n,1.2431877466522023
Rouwen Hennings,1.2429736834085714
Cristian Mart¡nez Borja,1.2429139673735539
Toman,1.2428722593405892
Sory Kaba,1.2425966688319452
Fabian Klos,1.2425221713150896
Jack Vale,1.2422131721330838
Robert Glatzel,1.2419557667856478
Giorgos Giakoumakis,1.240935682441851
Paco Alc cer,1.2406160200722052
Cristian Palacios,1.2402426879199329
Stipe Perica,1.2399671650962931
Oh Hyeon-Gyu,1.2393823238688064
Antonio ?olak,1.2369187435406168
Petar Musa,1.2359506360232364
Alerrandro,1.2349294200115484
Veton Berisha,1.234573748221118
Anthony Lozano,1.2345716342239412
Adolfo Gaich,1.2343732006097774
Cristian Tarragona,1.2322684911580815
Abel Hern ndez,1.2321621817842483
Fran Sol,1.232034248553565
Aleksandar Pe?i?,1.2319587110687293
Brayan Moreno,1.2317456309636292
Danylo Sikan,1.2307302053077758
Luis Amarilla,1.230429840906705
Felipe Caicedo,1.2292755163423852
Agust¡n µlvarez,1.2291544725833452
Rey Manaj,1.2291431959146955
Enis Destan,1.2288991282311499
Leandro Benegas,1.2285406480963046
Jhonatan Candia,1.2281559840061007
F bio Abreu,1.227719212407265
Jackson Muleka,1.2270415781745756
Jrgen Strand Larsen,1.2270248507926231
Santiago Gimnez,1.2269953981269248
Abiel Osorio,1.2260041830265491
Mateo Retegui,1.2250488362393268
Sergio Camello,1.224950357708392
Sam Surridge,1.222717093153637
Pablo Vegetti,1.2218640451631908
Jos Manuel L¢pez,1.2218488877394202
Jean-Pierre Nsam,1.2218147081612778
Shamar Nicholson,1.2217451122372505
Carlos Gonz lez,1.2215515286137553
Luciano Pons,1.2214590207837581
Federico Bonazzoli,1.2211428740682742
Leonardo1,1.220437081372189
Loren,1.220028083181691
Leandro Fern ndez,1.2195619394188602
Erik Botheim,1.2194321710526315
